% Model:              JH_0104_coupled_lib_model_1d.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 8 2026, 15:19
% Dimension:          0
% Nodes:              3601
% Expressions:        6
% Description:        Point Probe 1, , , , Open-circuit cell voltage, Battery cell state of charge
% u_par                   C_par                    t                        E_cell (V)               -I_cell (A)              -Rx_cell (N)             -u_cell (m)              E_ocv_cell (V)           soc_cell (1)
0                         0.1                      1200                     4.232951778555954        0.49782155022043484      -2.5698627490208637E7    0                        4.244539599023474        0.9666666666666668
0                         0.1                      1210                     4.232528089868448        0.49782155022043484      -2.591279014880897E7     0                        4.244112539041747        0.9663888888888893
0                         0.1                      1220                     4.232104401180943        0.49782155022043484      -2.6126952807409383E7    0                        4.2436854790600185       0.9661111111111115
0                         0.1                      1230                     4.2316807124934375       0.49782155022043484      -2.6341115466009792E7    0                        4.24325841907829         0.9658333333333338
0                         0.1                      1240                     4.231257023805932        0.49782155022043484      -2.6555278124609984E7    0                        4.242831359096563        0.9655555555555559
0                         0.1                      1250                     4.230833335118426        0.49782155022043484      -2.6769440783210337E7    0                        4.242404299114835        0.965277777777778
0                         0.1                      1260                     4.23040964643092         0.49782155022043484      -2.6983603441810697E7    0                        4.2419772391331065       0.9650000000000001
0                         0.1                      1270                     4.229985957743415        0.49782155022043484      -2.7197766100410994E7    0                        4.241550179151378        0.9647222222222225
0                         0.1                      1280                     4.22956226905591         0.49782155022043484      -2.7411928759011265E7    0                        4.24112311916965         0.9644444444444448
0                         0.1                      1290                     4.229138580368404        0.49782155022043484      -2.762609141761164E7     0                        4.240696059187923        0.964166666666667
0                         0.1                      1300                     4.228714891680898        0.49782155022043484      -2.7840254076212086E7    0                        4.240268999206195        0.963888888888889
0                         0.1                      1310                     4.228291202993393        0.49782155022043484      -2.8054416734812375E7    0                        4.239841939224466        0.9636111111111114
0                         0.1                      1320                     4.2278675143058875       0.49782155022043484      -2.8268579393412672E7    0                        4.239414879242739        0.9633333333333337
0                         0.1                      1330                     4.227443825618382        0.49782155022043484      -2.848274205201286E7     0                        4.238987819261011        0.9630555555555558
0                         0.1                      1340                     4.227020136930876        0.49782155022043484      -2.8696904710613266E7    0                        4.2385607592792836       0.9627777777777782
0                         0.1                      1350                     4.22659644824337         0.49782155022043484      -2.8911067369213585E7    0                        4.2381336992975545       0.9625000000000002
0                         0.1                      1360                     4.226172759555865        0.49782155022043484      -2.9125230027814038E7    0                        4.237706639315826        0.9622222222222225
