time/s;current/A;battery voltage/V
51835.7435849054;-18.019428;3.3251827
51901.7435850283;-17.958344;3.3246815
51902.7435850302;-17.961734;3.3252828
51908.7435850413;-17.927801;3.3246815
51909.7435850432;-17.921012;3.3252327
52021.7435852518;-18.033002;3.3252828
52022.7435852537;-17.921012;3.3247316
52039.7435852853;-17.995672;3.3249822
52040.7435852872;-17.968523;3.3254833
52041.7435852891;-18.026215;3.3248818
52159.7435855089;-17.921012;3.3253329
52160.7435855107;-17.995672;3.3247817
52161.7435855126;-17.931193;3.3252828
52183.7435855536;-18.056758;3.3246312
52184.7435855554;-18.056758;3.3251324
52186.7435855591;-17.951555;3.3249822
52187.743585561;-17.921012;3.3255334
52216.743585615;-17.992277;3.3246815
52217.7435856169;-17.971918;3.3252327
52269.7435857137;-18.053363;3.3249321
52270.7435857156;-18.070332;3.3254333
52271.7435857175;-18.022822;3.3248317
52281.7435857361;-17.992277;3.3249321
52282.743585738;-17.944768;3.3254333
52283.7435857398;-17.965131;3.3249321
52296.743585764;-18.022822;3.3253832
52297.7435857659;-17.995672;3.3247817
52342.7435858497;-17.965131;3.3253329
52343.7435858516;-17.961734;3.3248317
52433.7435860192;-17.944768;3.3248317
52434.7435860211;-17.90065;3.3253832
52454.7435860583;-17.975311;3.3254833
52455.7435860602;-17.924406;3.3249822
52479.7435861049;-17.995672;3.3251324
52480.7435861068;-17.927801;3.3256338
52494.7435861328;-17.90065;3.3250322
52495.7435861347;-17.978705;3.3255334
52505.7435861533;-17.995672;3.3254333
52506.7435861552;-17.982098;3.3249321
52507.7435861571;-18.012641;3.3247316
52508.7435861589;-17.8735;3.3253329
52543.7435862241;-17.988885;3.3255334
52544.743586226;-17.999066;3.3249822
52555.7435862465;-18.026215;3.3257339
52556.7435862483;-17.961734;3.3251827
52583.7435862986;-17.924406;3.3257339
52584.7435863005;-17.988885;3.3250823
52604.7435863377;-17.944768;3.3252828
52605.7435863396;-17.978705;3.325834
52606.7435863415;-17.921012;3.3252327
52621.7435863694;-18.029609;3.3251324
52622.7435863713;-17.992277;3.3256338
52648.7435864197;-17.883682;3.3250823
52649.7435864216;-17.90065;3.3256838
52656.7435864346;-17.927801;3.3251324
52657.7435864365;-18.022822;3.3256338
52667.7435864551;-17.822596;3.3249822
52668.7435864569;-18.029609;3.3254833
52687.7435864923;-17.971918;3.3257339
52688.7435864942;-17.917619;3.3251827
52709.7435865333;-17.999066;3.3255835
52710.7435865352;-18.005854;3.3250823
52711.743586537;-18.046578;3.3256338
52735.7435865817;-17.94816;3.325784
52736.7435865836;-18.012641;3.3251827
52743.7435865966;-17.907438;3.3251324
52744.7435865985;-17.904043;3.325784
52757.7435866227;-17.985492;3.3252828
52758.7435866246;-17.988885;3.3258843
52760.7435866283;-17.968523;3.3251324
52761.7435866302;-17.927801;3.3257339
52762.743586632;-17.90065;3.3251827
52788.7435866805;-18.002459;3.3253832
52789.7435866823;-18.012641;3.3258843
52790.7435866842;-18.053363;3.3252327
52794.7435866916;-17.907438;3.3252828
52795.7435866935;-18.019428;3.3258843
52814.7435867289;-17.934586;3.3256338
52815.7435867307;-18.005854;3.3250823
52820.7435867401;-17.951555;3.3251324
52821.7435867419;-17.866713;3.3256338
52837.7435867717;-17.971918;3.325784
52838.7435867736;-17.917619;3.3252327
52850.7435867959;-17.995672;3.3257339
52851.7435867978;-17.995672;3.3252327
52876.7435868444;-17.951555;3.3258843
52877.7435868462;-17.907438;3.3251827
52894.7435868779;-17.951555;3.3252828
52895.7435868798;-17.887076;3.325784
52936.7435869561;-17.944768;3.325784
52937.743586958;-17.887076;3.3252327
52969.7435870176;-17.941373;3.3252828
52970.7435870195;-18.066939;3.325784
53024.74358712;-17.941373;3.3254833
53025.7435871219;-17.927801;3.3260345
53053.7435871741;-17.8735;3.3254333
53054.7435871759;-17.893863;3.3259845
53079.7435872225;-17.995672;3.3259845
53080.7435872244;-18.009248;3.3254833
53105.7435872709;-17.958344;3.3255334
53106.7435872728;-17.924406;3.3260345
53116.7435872914;-17.91083;3.3253832
53117.7435872933;-17.968523;3.3259845
53225.7435874944;-17.904043;3.3260846
53226.7435874963;-17.870107;3.3255835
53243.743587528;-17.883682;3.3260345
53244.7435875298;-17.985492;3.3255334
53277.7435875913;-17.954947;3.3255334
53278.7435875932;-17.971918;3.3262851
