time/s;current/A;battery voltage/V
112806.527428953;180.03092;3.2060518
112807.527428715;180.14969;3.206553
112916.527402929;180.03769;3.2039468
112917.527402694;180.02752;3.2033956
112918.527402459;180.01733;3.2039971
112934.527398704;180.00377;3.2032955
112935.527398469;180.00716;3.2038968
112936.527398235;180.13613;3.203095
112944.527396349;179.9868;3.203095
112945.52739611;180.0445;3.2035961
112946.527395872;180.12933;3.2033455
112947.527395634;179.99697;3.2026939
112951.52739468;180.06486;3.2032452
112952.527394441;180.07164;3.2026439
112956.527393488;180.05469;3.203095
112957.527393249;180.05469;3.2023432
112958.527393011;180.12253;3.2028944
112969.527390392;180.13613;3.2023432
112970.527390157;180.02073;3.2028444
112976.527388749;180.13613;3.2020926
112977.527388515;180.07841;3.2026439
112978.52738828;180.07841;3.2026939
112979.527388045;180.12253;3.2020926
112993.527384759;180.0445;3.2017417
112994.527384525;179.91214;3.2022429
113035.527374805;179.99019;3.2011404
113036.52737457;180.05805;3.2004387
113037.527374336;180.01394;3.20099
113091.527361565;180.12253;3.1993861
113092.52736133;180.11577;3.1998873
113109.527357308;180.19041;3.1992359
113110.52735707;179.95625;3.1987345
113137.527350672;180.13272;3.1987848
113138.527350437;179.99358;3.1982837
113152.527347151;179.99019;3.1985343
113153.527346917;180.04109;3.1978827
113179.527340718;180.05469;3.1973314
113180.527340482;180.19041;3.1978326
113184.527339543;179.96642;3.1976821
113185.527339309;180.08522;3.197181
113188.527338605;180.14289;3.1975317
113189.52733837;180.15308;3.1970305
113212.52733295;179.99358;3.1963289
113213.527332711;180.08859;3.19683
113214.527332473;179.9257;3.1961787
113229.527328896;180.05805;3.1964793
113230.527328658;180.07164;3.1958277
113241.527326068;180.08181;3.1956272
113242.527325833;179.96642;3.1962287
113243.527325599;180.13613;3.1956272
113246.527324894;180.1463;3.1958778
113247.52732466;180.03769;3.1952765
113248.527324425;180.03092;3.1958778
113271.527318982;180.02413;3.1952765
113272.527318744;180.16325;3.1947253
113317.527308114;180.08522;3.1939733
113318.527307875;179.96642;3.1932716
113330.527305014;179.98002;3.1935225
113331.527304776;180.06823;3.192971
113336.527303584;179.99019;3.1931214
113337.527303346;180.08522;3.1936226
113351.527300057;180.08522;3.1928709
113352.527299822;180.16666;3.1922693
113353.527299587;180.12253;3.1929209
113354.527299352;180.03769;3.1922693
113369.527295816;180.09541;3.1922693
113370.527295577;180.07164;3.1917682
113375.527294385;179.95964;3.1917181
113376.527294147;180.16325;3.1922193
113406.527287051;180.11236;3.1905653
113407.527286816;180.04788;3.1911669
113432.527280895;180.08859;3.1904652
113433.527280656;180.15988;3.1898637
113461.527274045;180.04788;3.1888614
113462.527273811;179.98002;3.1893625
113469.527272168;180.11577;3.1889615
113470.527271933;180.00716;3.1883101
113475.527270742;179.98002;3.1889615
113476.527270504;180.12594;3.1884604
113483.527268835;180.18023;3.1881096
113484.527268596;180.08859;3.1886108
113496.527265735;180.05805;3.1883101
113497.527265499;180.10217;3.1877086
113516.527261039;179.94606;3.1876085
113517.527260805;180.08181;3.1871073
113525.52725892;180.14969;3.187057
113526.527258681;180.07164;3.1865559
113527.527258443;180.09877;3.1863554
113528.527258205;180.08181;3.1868567
113554.527252023;179.91553;3.1857541
113555.527251788;180.04788;3.1863053
113556.527251554;179.98341;3.1857541
113557.527251319;180.1395;3.1856036
113558.527251084;179.98002;3.1861551
113559.527250849;179.93928;3.1855536
113594.527242568;180.10897;3.1839497
113595.527242329;180.11236;3.1844509
113668.527225072;180.06486;3.181494
113669.527224838;180.03431;3.1809428
113776.52719953;180.00377;3.1764321
113777.527199295;180.14969;3.175931
113787.527196948;180.12933;3.1760812
113788.527196711;179.93928;3.1753795
113812.527190989;179.99697;3.1747782
113813.527190751;180.01733;3.1742771
113845.52718322;180.10558;3.1724226
113846.527182982;180.03431;3.1729739
113855.527180836;180.17345;3.1725731
113856.527180598;180.03769;3.1720717
113873.527176569;180.092;3.1716208
113874.527176335;179.93928;3.1710694
113879.527175161;180.18702;3.1710694
113880.527174926;180.16666;3.1705182
113890.527172579;180.06145;3.1702175
113891.527172345;180.11914;3.1707187
113938.527161217;180.11236;3.1679621
113939.527160982;180.11236;3.1673105
113942.527160278;180.04788;3.1673105
113943.527160043;180.11914;3.1680121
113944.527159809;180.01394;3.1671102
113947.5271591;180.08859;3.1674609
113948.527158862;180.06145;3.1669598
114038.527137553;180.10897;3.1617475
114039.527137318;180.00377;3.1610959
114040.527137083;180.06823;3.161597
114087.527125955;180.02413;3.1585901
114088.527125721;180.01733;3.1579385
114105.527121729;179.96642;3.1573873
114106.52712149;180.08522;3.1567857
114107.527121252;180.092;3.1571867
114108.527121013;180.08522;3.1566856
114117.527118868;180.10217;3.1559339
114118.527118629;179.9868;3.1568861
114119.527118391;180.07841;3.1557333
114141.527113184;180.08181;3.154731
114142.527112949;180.26508;3.1540794
114148.527111541;180.08181;3.1540794
114149.527111307;180.1395;3.1534779
