state-of-charge;open-circuit voltage/V
0.00792;2.7792769546247
0.00793;2.77945500660411
0.00794;2.77963305858353
0.00795;2.77981111056295
0.00796;2.77998916254236
0.00797;2.78016721452177
0.00798;2.78034526650119
0.00799;2.7805233184806
0.008;2.78070137046002
0.00801;2.78087942243943
0.00802;2.78105747441885
0.00803;2.78123552639826
0.00804;2.78141357837768
0.00805;2.78159163035709
0.00806;2.78177094219874
0.00807;2.78195099119382
0.00808;2.78213104018891
0.00809;2.78231108918399
0.0081;2.78249113817907
0.00811;2.78267118717415
0.00812;2.78285123616924
0.00813;2.78303128516432
0.00814;2.7832113341594
0.00815;2.78339138315448
0.00816;2.78357143214957
0.00817;2.78375148114465
0.00818;2.78393153013973
0.00819;2.78411157913481
0.0082;2.7842916281299
0.00821;2.78447167712498
0.00822;2.78465172612006
0.00823;2.78483177511514
0.00824;2.78501182411023
0.00825;2.78519187310531
0.00826;2.78537192210039
0.00827;2.78555197109547
0.00828;2.78573202009055
0.00829;2.78591206908564
0.0083;2.78609211808072
0.00831;2.7862721670758
0.00832;2.78645221607088
0.00833;2.78663226506597
0.00834;2.78681231406105
0.00835;2.78699236305613
0.00836;2.78717241205121
0.00837;2.7873524610463
0.00838;2.78753251004138
0.00839;2.78771255903646
0.0084;2.78789260803154
0.00841;2.78807265702663
0.00842;2.78825270602171
0.00843;2.78843275501679
0.00844;2.78861280401187
0.00845;2.78879285300696
0.00846;2.78897290200204
0.00847;2.78915295099712
0.00848;2.7893329999922
0.00849;2.78951304898729
0.0085;2.78969309798237
0.00851;2.78987314697745
0.00852;2.79005319597253
0.00853;2.79023324496762
0.00854;2.7904132939627
0.00855;2.79059334295778
0.00856;2.79077339195286
0.00857;2.79095344094794
0.00858;2.79113348994303
0.00859;2.79131353893811
0.0086;2.79149358793319
0.00861;2.79167363692827
0.00862;2.79185368592336
0.00863;2.79203373491844
0.00864;2.79221378391352
0.00865;2.79239113411627
0.00866;2.79256302439144
0.00867;2.7927349146666
0.00868;2.79290680494177
0.00869;2.79307869521693
0.0087;2.7932505854921
0.00871;2.79342247576726
0.00872;2.79359436604243
0.00873;2.7937662563176
0.00874;2.79393814659276
0.00875;2.79411003686793
0.00876;2.79428192714309
0.00877;2.79445381741826
0.00878;2.79462570769342
0.00879;2.79479759796859
0.0088;2.79496948824375
0.00881;2.79514137851892
0.00882;2.79531326879408
0.00883;2.79548515906925
0.00884;2.79565704934441
0.00885;2.79582893961958
