(r,x,t)             variable
(50, 686)         	 Positive electrode lithium plating volumetric interfacial current density [A.m-3]
(686,)            	 X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
(686,)            	 Negative electrode equilibrium open-circuit potential [V]
(686,)            	 X-averaged negative electrode equilibrium open-circuit potential [V]
(50, 686)         	 Negative electrode open-circuit potential [V]
(686,)            	 X-averaged negative electrode open-circuit potential [V]
(686,)            	 Negative electrode bulk open-circuit potential [V]
(686,)            	 Negative particle concentration overpotential [V]
(686,)            	 Negative electrode entropic change [V.K-1]
(686,)            	 X-averaged negative electrode entropic change [V.K-1]
(686,)            	 Positive electrode equilibrium open-circuit potential [V]
(686,)            	 X-averaged positive electrode equilibrium open-circuit potential [V]
(50, 686)         	 Positive electrode open-circuit potential [V]
(686,)            	 X-averaged positive electrode open-circuit potential [V]
(686,)            	 Positive electrode bulk open-circuit potential [V]
(686,)            	 Positive particle concentration overpotential [V]
(686,)            	 Positive electrode entropic change [V.K-1]
(686,)            	 X-averaged positive electrode entropic change [V.K-1]
(686,)            	 X-averaged negative electrode total interfacial current density [A.m-2]
(686,)            	 X-averaged negative electrode total volumetric interfacial current density [A.m-3]
(50, 686)         	 Negative electrode SEI film overpotential [V]
(686,)            	 X-averaged negative electrode SEI film overpotential [V]
(50, 686)         	 Negative electrode exchange current density [A.m-2]
(686,)            	 X-averaged negative electrode exchange current density [A.m-2]
(50, 686)         	 Negative electrode reaction overpotential [V]
(686,)            	 X-averaged negative electrode reaction overpotential [V]
(686,)            	 X-averaged negative electrode surface potential difference [V]
(50, 686)         	 Negative electrode interfacial current density [A.m-2]
(686,)            	 X-averaged negative electrode interfacial current density [A.m-2]
(50, 686)         	 Negative electrode volumetric interfacial current density [A.m-3]
(686,)            	 X-averaged negative electrode volumetric interfacial current density [A.m-3]
(686,)            	 X-averaged positive electrode total interfacial current density [A.m-2]
(686,)            	 X-averaged positive electrode total volumetric interfacial current density [A.m-3]
(50, 686)         	 Positive electrode SEI film overpotential [V]
(686,)            	 X-averaged positive electrode SEI film overpotential [V]
(50, 686)         	 Positive electrode exchange current density [A.m-2]
(686,)            	 X-averaged positive electrode exchange current density [A.m-2]
(50, 686)         	 Positive electrode reaction overpotential [V]
(686,)            	 X-averaged positive electrode reaction overpotential [V]
(686,)            	 X-averaged positive electrode surface potential difference [V]
(50, 686)         	 Positive electrode interfacial current density [A.m-2]
(686,)            	 X-averaged positive electrode interfacial current density [A.m-2]
(50, 686)         	 Positive electrode volumetric interfacial current density [A.m-3]
(686,)            	 X-averaged positive electrode volumetric interfacial current density [A.m-3]
(10, 686)         	 Negative particle rhs [mol.m-3.s-1]
(686,)            	 Negative particle bc [mol.m-4]
(10, 50, 686)     	 Negative particle effective diffusivity [m2.s-1]
(10, 686)         	 X-averaged negative particle effective diffusivity [m2.s-1]
(686,)            	 Volume-averaged negative particle effective diffusivity [m2.s-1]
(11, 50, 686)     	 Negative particle flux [mol.m-2.s-1]
(11, 686)         	 X-averaged negative particle flux [mol.m-2.s-1]
(10, 686)         	 Positive particle rhs [mol.m-3.s-1]
(686,)            	 Positive particle bc [mol.m-4]
(10, 50, 686)     	 Positive particle effective diffusivity [m2.s-1]
(10, 686)         	 X-averaged positive particle effective diffusivity [m2.s-1]
(686,)            	 Volume-averaged positive particle effective diffusivity [m2.s-1]
(11, 50, 686)     	 Positive particle flux [mol.m-2.s-1]
(11, 686)         	 X-averaged positive particle flux [mol.m-2.s-1]
(50, 686)         	 Negative electrode potential [V]
(686,)            	 X-averaged negative electrode potential [V]
(50, 686)         	 Negative electrode ohmic losses [V]
(686,)            	 X-averaged negative electrode ohmic losses [V]
(51, 686)         	 Gradient of negative electrode potential [V.m-1]
(50, 686)         	 Negative electrode current density [A.m-2]
(130, 686)        	 Electrolyte potential [V]
(686,)            	 X-averaged electrolyte potential [V]
(686,)            	 X-averaged electrolyte overpotential [V]
(131, 686)        	 Gradient of electrolyte potential [V.m-1]
(50, 686)         	 Negative electrolyte potential [V]
(686,)            	 X-averaged negative electrolyte potential [V]
(51, 686)         	 Gradient of negative electrolyte potential [V.m-1]
(30, 686)         	 Separator electrolyte potential [V]
(686,)            	 X-averaged separator electrolyte potential [V]
(31, 686)         	 Gradient of separator electrolyte potential [V.m-1]
(50, 686)         	 Positive electrolyte potential [V]
(686,)            	 X-averaged positive electrolyte potential [V]
(51, 686)         	 Gradient of positive electrolyte potential [V.m-1]
(130, 686)        	 Electrolyte current density [A.m-2]
(50, 686)         	 Negative electrolyte current density [A.m-2]
(50, 686)         	 Positive electrolyte current density [A.m-2]
(686,)            	 X-averaged concentration overpotential [V]
(686,)            	 X-averaged electrolyte ohmic losses [V]
(50, 686)         	 Negative electrode surface potential difference [V]
(686,)            	 Negative electrode surface potential difference at separator interface [V]
(50, 686)         	 Sum of negative electrode electrolyte reaction source terms [A.m-3]
(686,)            	 Sum of x-averaged negative electrode electrolyte reaction source terms [A.m-3]
(50, 686)         	 Sum of negative electrode volumetric interfacial current densities [A.m-3]
(686,)            	 Sum of x-averaged negative electrode volumetric interfacial current densities [A.m-3]
(50, 686)         	 Sum of positive electrode electrolyte reaction source terms [A.m-3]
(686,)            	 Sum of x-averaged positive electrode electrolyte reaction source terms [A.m-3]
(50, 686)         	 Sum of positive electrode volumetric interfacial current densities [A.m-3]
(686,)            	 Sum of x-averaged positive electrode volumetric interfacial current densities [A.m-3]
(130, 686)        	 Interfacial current density [A.m-2]
(130, 686)        	 Exchange current density [A.m-2]
(130, 686)        	 Sum of volumetric interfacial current densities [A.m-3]
(130, 686)        	 Sum of electrolyte reaction source terms [A.m-3]
(50, 686)         	 Positive electrode potential [V]
(686,)            	 X-averaged positive electrode potential [V]
(50, 686)         	 Positive electrode ohmic losses [V]
(686,)            	 X-averaged positive electrode ohmic losses [V]
(51, 686)         	 Gradient of positive electrode potential [V.m-1]
(50, 686)         	 Positive electrode current density [A.m-2]
(130, 686)        	 Electrode current density [A.m-2]
(686,)            	 Positive current collector potential [V]
(686,)            	 Local voltage [V]
(686,)            	 Voltage expression [V]
(686,)            	 Terminal voltage [V]
(686,)            	 Contact overpotential [V]
(686,)            	 Voltage [V]
(50, 686)         	 Positive electrode surface potential difference [V]
(686,)            	 Positive electrode surface potential difference at separator interface [V]
(686,)            	 Surface open-circuit voltage [V]
(686,)            	 Bulk open-circuit voltage [V]
(686,)            	 Particle concentration overpotential [V]
(686,)            	 X-averaged reaction overpotential [V]
(686,)            	 X-averaged SEI film overpotential [V]
(686,)            	 X-averaged solid phase ohmic losses [V]
(686,)            	 Battery open-circuit voltage [V]
(686,)            	 Battery negative electrode bulk open-circuit potential [V]
(686,)            	 Battery positive electrode bulk open-circuit potential [V]
(686,)            	 Battery particle concentration overpotential [V]
(686,)            	 Battery negative particle concentration overpotential [V]
(686,)            	 Battery positive particle concentration overpotential [V]
(686,)            	 X-averaged battery reaction overpotential [V]
(686,)            	 X-averaged battery negative reaction overpotential [V]
(686,)            	 X-averaged battery positive reaction overpotential [V]
(686,)            	 X-averaged battery solid phase ohmic losses [V]
(686,)            	 X-averaged battery negative solid phase ohmic losses [V]
(686,)            	 X-averaged battery positive solid phase ohmic losses [V]
(686,)            	 X-averaged battery electrolyte ohmic losses [V]
(686,)            	 X-averaged battery concentration overpotential [V]
(686,)            	 Battery voltage [V]
(686,)            	 Local ECM resistance [Ohm]
(686,)            	 Terminal power [W]
(686,)            	 Power [W]
(686,)            	 Resistance [Ohm]
(686,)            	 Total lithium in negative electrode [mol]
(686,)            	 LAM_ne [%]
(686,)            	 Loss of active material in negative electrode [%]
(686,)            	 Total lithium in positive electrode [mol]
(686,)            	 LAM_pe [%]
(686,)            	 Loss of active material in positive electrode [%]
(686,)            	 LLI [%]
(686,)            	 Loss of lithium inventory [%]
(686,)            	 Loss of lithium inventory, including electrolyte [%]
(686,)            	 Total lithium [mol]
(686,)            	 Total lithium in particles [mol]
(686,)            	 Total lithium capacity [A.h]
(686,)            	 Total lithium capacity in particles [A.h]
(686,)            	 Total lithium lost [mol]
(686,)            	 Total lithium lost from particles [mol]
(686,)            	 Total lithium lost from electrolyte [mol]
(686,)            	 Total lithium lost to side reactions [mol]
(686,)            	 Total capacity lost to side reactions [A.h]
