u_par;C;t;V;F;u;Ue;soc;I;trajectory;eta
0;1;2207;3.6247505682559233;0.005418613928971092;0.0;3.68950768288676;0.3869473333944965;4.978215502204348;11;0.06475711463083655
0;1;2208;3.624579271901105;0.0054211374185958216;0.0;3.6893602029553336;0.3866695556167189;4.978215502204348;11;0.06478093105422866
0;1;2209;3.624407951435499;0.005423660971207644;0.0;3.689212723023908;0.3863917778389409;4.978215502204348;11;0.0648047715884088
0;1;2210;3.6242366068591063;0.005426184586809537;0.0;3.689065243092481;0.3861140000611632;4.978215502204348;11;0.06482863623337476
0;1;2211;3.6240652381719256;0.005428708265404041;0.0;3.6889177631610552;0.3858362222833853;4.978215502204348;11;0.06485252498912963
0;1;2212;3.623893845373958;0.005431232006993952;0.0;3.688770283229629;0.3855584445056078;4.978215502204348;11;0.06487643785567077
0;1;2213;3.623722428465203;0.005433755811582285;0.0;3.688622803298203;0.3852806667278298;4.978215502204348;11;0.06490037483299993
0;1;2214;3.623550987445661;0.005436279679171567;0.0;3.688475323366777;0.3850028889500522;4.978215502204348;11;0.0649243359211158
0;1;2215;3.623379522315332;0.005438803609764468;0.0;3.688327843435351;0.3847251111722745;4.978215502204348;11;0.06494832112001925
0;1;2216;3.623208033074215;0.005441327603364002;0.0;3.6881803635039248;0.3844473333944964;4.978215502204348;11;0.06497233042970985
0;1;2217;3.6230365197223113;0.005443851659972843;0.0;3.688032883572499;0.3841695556167185;4.978215502204348;11;0.06499636385018759
0;1;2218;3.62286498225962;0.005446375779593599;0.0;3.6878854036410726;0.383891777838941;4.978215502204348;11;0.06502042138145248
0;1;2219;3.622693420686142;0.005448899962229531;0.0;3.6877379237096464;0.3836140000611631;4.978215502204348;11;0.06504450302350451
0;1;2220;3.622521835001877;0.005451424207883027;0.0;3.687590443778221;0.3833362222833854;4.978215502204348;11;0.06506860877634413
0;1;2221;3.622350225206824;0.0054539485165569;0.0;3.6874429638467943;0.3830584445056078;4.978215502204348;11;0.06509273863997045
0;1;2222;3.622178591300983;0.005456472888254023;0.0;3.687295483915368;0.3827806667278298;4.978215502204348;11;0.0651168926143848
0;1;2223;3.622006933284356;0.005458997322977148;0.0;3.6871480039839417;0.3825028889500521;4.978215502204348;11;0.06514107069958586
0;1;2224;3.6218352511569414;0.005461521820729105;0.0;3.687000524052515;0.3822251111722745;4.978215502204348;11;0.06516527289557361
0;1;2225;3.6216635449187393;0.0054640463815126385;0.0;3.6868530441210896;0.3819473333944963;4.978215502204348;11;0.06518949920235029
0;1;2226;3.62149181456975;0.005466571005330209;0.0;3.686705564189664;0.3816695556167185;4.978215502204348;11;0.06521374961991411
0;1;2227;3.6213200601099738;0.005469095692184981;0.0;3.6865580842582375;0.3813917778389409;4.978215502204348;11;0.06523802414826374
0;1;2228;3.62114828153941;0.005471620442079576;0.0;3.686410604326812;0.3811140000611632;4.978215502204348;11;0.0652623227874023
0;1;2229;3.6209764788580583;0.0054741452550167895;0.0;3.6862631243953854;0.3808362222833852;4.978215502204348;11;0.0652866455373271
0;1;2230;3.620804652065921;0.005476670130999609;0.0;3.686115644463959;0.3805584445056076;4.978215502204348;11;0.06531099239803817
0;1;2231;3.620632801162995;0.00547919507003052;0.0;3.685970877499272;0.3802806667278299;4.978215502204348;11;0.06533807633627697
