R0,R1,C1,k,C,u_per,soc
0.5606680177152157,28.715288639068604,2.915806396484375,3.4075219184160233,0.7978,0.8178,0.217
0.9100982919335365,0.6649709306657314,11.2842646484375,2.812509424984455,0.9112,0.5664666666666667,0.867
0.783766433596611,1.3251753523945808,10.72207421875,3.288089856505394,0.26,0.7438666666666667,0.224
0.7770855911076069,4.402294382452965,11.9916787109375,2.4213697761297226,0.8172,0.052866666666666666,0.312
0.8855015970766544,0.5978054367005825,11.40194921875,2.4521786719560623,0.8728,0.19193333333333334,0.723
0.6945159286260605,0.6610185373574495,12.4210546875,3.06596290320158,0.9042,0.6604,0.474
0.7526380941271782,1.0760924778878689,12.241998046875,2.563025988638401,0.6378,0.21586666666666668,0.349
1.0798506438732147,0.7502597291022539,11.2238310546875,2.2858597338199615,0.5124,0.043166666666666666,0.918
0.8772410452365875,0.7023075595498085,11.2473154296875,2.4334387853741646,0.421,0.17486666666666667,0.737
0.8812234736979008,1.2304835952818394,7.435443359375,2.9751552268862724,0.0646,0.5131333333333333,0.118
0.9807917289435863,0.7479717954993248,11.22053125,2.333889529109001,0.32799999999999996,0.08473333333333333,0.84
0.9401082061231136,0.704955542460084,11.2469033203125,2.772133983671665,0.753,0.5385333333333333,0.892
0.7000991608947515,28.873005509376526,1.3672115478515625,2.6039287447929382,0.8346,0.19683333333333333,0.12
0.7631993386894464,0.483491038903594,11.4579521484375,3.075421415269375,0.3306,0.6466333333333334,0.396
0.7809958886355162,0.4801581148058176,11.265427734375,3.362564742565155,0.0776,0.8458666666666667,0.465
1.0734276846051216,0.7448322605341673,11.2174990234375,2.976873703300953,0.5194,0.7087,0.944
1.4371651224792004,0.7718215230852365,11.2045087890625,2.2488750517368317,0.1268,0.013166666666666667,0.987
1.2294350191950798,0.767999142408371,11.204703125,2.3240894079208374,0.052000000000000005,0.09196666666666667,0.919
0.8065667003393173,1.7697051167488098,10.603375,2.7594469487667084,0.3674,0.3682666666666667,0.225
0.7591845467686653,0.7310244720429182,12.0339736328125,2.5756053626537323,0.5860000000000001,0.23413333333333333,0.371
0.944005511701107,0.6914039142429829,11.2599765625,2.7009326964616776,0.8406,0.4781333333333333,0.893
0.9018520824611187,0.5871767178177834,11.4704658203125,2.3100221529603004,0.8526,0.014266666666666667,0.68
0.6813252810388803,0.6616244092583656,11.8818994140625,3.307807445526123,0.5958,0.7941333333333334,0.387
0.7588907144963741,0.6159706972539425,11.318912109375,3.507915511727333,0.6504,0.9843,0.686
0.8825521916151047,0.7152976002544165,11.2356171875,2.3812418803572655,0.2892,0.11233333333333334,0.719
0.6903492379933596,1.1229481548070908,11.36348828125,3.6137666553258896,0.4088,0.9540000000000001,0.285
1.1088116094470024,0.7577330339699984,11.206119140625,3.2474741339683533,0.1964,0.8852,0.922
0.8608474396169186,0.7184150163084269,11.221439453125,2.6707960292696953,0.1656,0.4073,0.716
0.9759824723005295,0.6931004580110312,11.266900390625,2.4231456220149994,0.8460000000000001,0.19896666666666668,0.886
0.7371724117547274,0.5656990688294172,11.5027236328125,3.4672237932682037,0.8752000000000001,0.9539000000000001,0.656
0.7706195581704378,0.606306828558445,11.24146484375,3.5697806626558304,0.122,0.9950666666666667,0.571
0.7979422807693481,0.6376867648214102,11.262521484375,3.032727539539337,0.3558,0.6740333333333334,0.637
0.6868321914225817,1.762363687157631,10.663677734375,3.614502027630806,0.41479999999999995,0.9451666666666667,0.243
0.8090551011264324,0.5008555948734283,11.385685546875,2.6406679302453995,0.263,0.31096666666666667,0.423
0.8327923715114594,28.64527702331543,0.18421873474121095,2.71539893001318,0.325,0.27893333333333337,0.014
0.8459500037133694,0.36422754637897015,11.1073466796875,3.1389616429805756,0.056999999999999995,0.6551333333333333,0.247
0.8528543636202812,0.6462668534368277,11.2991162109375,2.9375001788139343,0.8374,0.6475333333333333,0.805
0.7151339203119278,5.269207805395126,11.4771357421875,2.636280097067356,0.8194000000000001,0.2760666666666667,0.306
0.9251025505363941,0.6474646739661694,11.3187646484375,2.3980561643838882,0.8539999999999999,0.14896666666666666,0.797
0.7774037308990955,28.756284713745117,4.55901513671875,2.414710819721222,0.8976000000000001,0.028633333333333334,0.254
0.7385298144072294,28.831174969673157,0.9681786499023437,2.5854503735899925,0.6806,0.17140000000000002,0.089
0.7461913861334324,0.5349444691091776,11.3666162109375,3.298037126660347,0.4128,0.8174333333333333,0.515
0.8231803774833679,1.3757730834186077,10.7933212890625,2.8380829840898514,0.28300000000000003,0.43356666666666666,0.226
1.035994105041027,0.7286523003131151,11.240525390625,2.333209663629532,0.7168,0.10146666666666666,0.919
0.8984912186861038,0.6275781895965338,11.3359521484375,2.6165639981627464,0.9406000000000001,0.38066666666666665,0.807
0.5346430465579033,28.85313630104065,1.56160498046875,3.3309776335954666,0.8436,0.7539333333333332,0.138
0.7340090814977884,0.5675230640918016,11.3989296875,3.432699292898178,0.6554,0.9221,0.612
0.7306032814085484,4.6659205108881,4.86252099609375,3.7154261022806168,0.2662,0.9813666666666666,0.122
0.7895263843238354,0.7593855261802673,11.982109375,2.440245635807514,0.533,0.08776666666666667,0.353
0.7738030515611172,0.5618480499833822,11.966423828125,2.5054896250367165,0.6862,0.18236666666666668,0.452
0.727907195687294,0.5498433951288462,11.5942265625,3.3837594091892242,0.8795999999999999,0.896,0.621
0.6977352779358625,28.837239742279053,1.7092100830078125,2.6214072480797768,0.8577999999999999,0.22823333333333334,0.175
0.8724277839064598,0.6743425503373146,11.2716845703125,2.542395330965519,0.6344000000000001,0.29769999999999996,0.769
1.0388730093836784,0.752244284376502,11.214173828125,2.6167942211031914,0.3552,0.40016666666666667,0.899
0.7565014529973269,1.3978187926113605,12.8314140625,2.5221914052963257,0.8134,0.18043333333333333,0.377
1.1020750738680363,0.7369584869593382,11.23553515625,2.300879918038845,0.7376,0.07003333333333334,0.956
0.8033416233956814,0.37158429622650146,11.2830361328125,3.198898211121559,0.0516,0.7271666666666667,0.391
0.5643988493829966,28.8824200630188,1.9581199951171875,3.052784316241741,0.9986,0.5857666666666667,0.19
0.7054895162582397,28.735268115997314,0.5234656982421875,3.1708739697933197,0.49219999999999997,0.6315000000000001,0.058
1.1869609355926514,0.7470547221601009,11.226921875,2.32661385089159,0.706,0.1102,0.991
1.0451539419591427,0.7132960483431816,11.2430595703125,3.2767657190561295,0.8794000000000001,0.9147333333333333,0.968
1.3846729882061481,0.7703731302171946,11.2062919921875,2.243260107934475,0.191,0.0036333333333333335,0.978
0.7809764705598354,0.6009223870933056,11.3686083984375,3.2928161323070526,0.8295999999999999,0.8637333333333334,0.719
1.0073020122945309,0.7103207521140575,11.25348828125,2.3874327540397644,0.8098000000000001,0.16376666666666667,0.91
0.7932919077575207,1.4073428697884083,11.33542578125,2.6874400675296783,0.414,0.3142333333333333,0.263
