trajectory,C,u_per,I,u,soc,R1,C1,R0,k
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9748667,0.0084253205,774.5926,0.008937672,0.031765133
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9747056,0.008425057,774.60315,0.008937672,0.03176585
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97454447,0.008424793,774.61383,0.008937672,0.03176658
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97438335,0.008424535,774.62445,0.008937672,0.0317673
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97422224,0.008424273,774.6351,0.008937672,0.031768028
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97406113,0.008424006,774.64575,0.008937672,0.031768754
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9739,0.008423741,774.6565,0.008937672,0.031769488
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9737389,0.0084234765,774.6671,0.008937672,0.03177021
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9735778,0.008423214,774.67773,0.008937672,0.031770926
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9734167,0.00842295,774.6884,0.008937672,0.031771664
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9732556,0.008422685,774.69904,0.008937672,0.03177238
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97309446,0.008422416,774.7098,0.008937672,0.031773105
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97293335,0.008422147,774.72046,0.008937672,0.03177383
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97277224,0.008421878,774.731,0.008937672,0.031774558
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9726111,0.00842161,774.74176,0.008937672,0.03177528
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97245,0.008421338,774.7523,0.008937672,0.031776004
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9722889,0.008421066,774.76306,0.008937672,0.031776726
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9721278,0.008420797,774.77374,0.008937672,0.031777456
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9719667,0.008420526,774.7843,0.008937672,0.031778183
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9718056,0.008420252,774.79504,0.008937672,0.0317789
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97164446,0.008419973,774.8057,0.008937672,0.03177963
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97148335,0.008419701,774.81635,0.008937672,0.03178036
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97132224,0.008419427,774.827,0.008937672,0.03178109
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9711611,0.0084191505,774.8377,0.008937672,0.031781804
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.971,0.008418877,774.8483,0.008937672,0.031782538
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9708389,0.008418596,774.8591,0.008937672,0.03178326
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9706778,0.00841832,774.86975,0.008937672,0.031783976
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9705167,0.00841804,774.88043,0.008937672,0.031784713
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9703556,0.008417761,774.8911,0.008937672,0.031785432
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97019446,0.008417482,774.9018,0.008937672,0.03178616
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97003335,0.008417199,774.9124,0.008937672,0.031786885
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.96987224,0.008416917,774.92316,0.008937672,0.031787608
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9697111,0.008416635,774.9339,0.008937672,0.03178834
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.96955,0.00841635,774.9445,0.008937672,0.031789053
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9693889,0.008416071,774.9552,0.008937672,0.031789787
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9692278,0.008415783,774.96594,0.008937672,0.03179051
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9690667,0.008415498,774.9766,0.008937672,0.031791233
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.96890557,0.008415213,774.9873,0.008937672,0.031791948
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.96874446,0.008414928,774.99805,0.008937672,0.03179268
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.96858335,0.008414638,775.0087,0.008937672,0.031793404
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.96842223,0.00841435,775.01935,0.008937672,0.031794135
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9682611,0.008414068,775.0301,0.008937672,0.03179487
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9681,0.008413776,775.04083,0.008937672,0.031795576
