% Model:              2_2603_JH_lib_coupled_model.mph
% Version:            COMSOL 6.3.0.420
% Date:               Mar 26 2026, 17:17
% Dimension:          0
% Nodes:              2711
% Expressions:        4
% Description:        Point Probe 1, Point Probe 3, Point Probe 2, Point Probe 4
% u_par                   t                        point1 (V)               point3 (N)               point2 (A)               point4 (m)
1.1                       6660                     3.4546024394899124       2.164157179125824E8      1.4768238373834388       1.636057542768274E-6
1.1                       6696                     3.4127337637281827       2.1778884589134717E8     1.4768238373834388       1.636057542768274E-6
1.1                       6732                     3.3707796995707593       2.1915997256170937E8     1.4768238373834388       1.636057542768274E-6
1.1                       6768                     3.328810755203181        2.2053026438592407E8     1.4768238373834388       1.636057542768274E-6
1.1                       6804                     3.2745677186393483       2.2189938250559074E8     1.4768238373834388       1.636057542768274E-6
1.1                       6840.000000000001        3.1910647272909474       2.232668157271004E8      1.4768238373834388       1.636057542768274E-6
1.1                       6876.000000000001        3.107482072663026        2.2463215810547066E8     1.4768238373834388       1.636057542768274E-6
1.1                       6912                     3.0238680594647542       2.259968348536386E8      1.4768238373834388       1.636057542768274E-6
1.1                       6948                     2.895166447029545        2.2736059646288687E8     1.4768238373834388       1.636057542768274E-6
1.2000000000000002        0                        4.118531195858127        -7.087552887690908E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        36                       4.107981438973397        -6.918311771875726E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        72                       4.102850669442446        -6.749303295025325E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        108                      4.09809582594968         -6.58057102586366E7      1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        144                      4.093416860073745        -6.4120516748885825E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        180                      4.088778462472183        -6.243914515625845E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        216                      4.084148001780402        -6.0758620576274216E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        252.00000000000003       4.079552344143315        -5.908147603535866E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        288                      4.0749840807942785       -5.740684457820873E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        324                      4.07047061972077         -5.573724054534132E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        360                      4.065957158647261        -5.4067636512473926E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        396                      4.061443697573752        -5.239803247960659E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        432                      4.057295735368036        -5.0734243572010145E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        468                      4.053252234978881        -4.907211666285708E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        504.00000000000006       4.049208734589726        -4.740998975370402E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        540                      4.045257530971218        -4.574949867749813E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        576                      4.0416294699098065       -4.4094734857379586E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        612                      4.0380014088483955       -4.2439971037261E7       1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        648                      4.0343733477869845       -4.078520721714251E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        684                      4.030580896212556        -3.913237891440366E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        720                      4.026608886195066        -3.7481664714728564E7    1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        756                      4.02252006112051         -3.583232588379593E7     1.4768238373834388       1.7847900466562989E-6
1.2000000000000002        792                      4.018407994839769        -3.4184453072678044E7    1.4768238373834388       1.7847900466562989E-6
