trajectory,C,u_per,I,u,soc,R1,C1,R0,k
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3979028,0.01112982,1595.7086,0.007111851,0.060765713
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.39683333,0.01114335,1595.7643,0.007111851,0.0607961
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.39576387,0.011156889,1595.8197,0.007111851,0.060826506
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.39469445,0.011170436,1595.8752,0.007111851,0.06085696
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.393625,0.01118399,1595.9304,0.007111851,0.060887445
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.39255556,0.011197554,1595.9858,0.007111851,0.060917974
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3914861,0.011211125,1596.0413,0.007111851,0.060948532
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.39041665,0.011224705,1596.0964,0.007111851,0.060979128
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.38934723,0.011238294,1596.1515,0.007111851,0.061009753
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.38827777,0.01125189,1596.2067,0.007111851,0.061040416
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.38720834,0.011265495,1596.2618,0.007111851,0.061071124
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3861389,0.011279108,1596.3168,0.007111851,0.061101872
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.38506943,0.0112927295,1596.3718,0.007111851,0.061132625
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.384,0.011306359,1596.4268,0.007111851,0.061163455
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.38293055,0.011319997,1596.4816,0.007111851,0.0611943
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.38186112,0.0113336425,1596.5364,0.007111851,0.061225187
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.38079166,0.011347298,1596.5912,0.007111851,0.061256118
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3797222,0.01136096,1596.6459,0.007111851,0.06128708
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.37865278,0.011374631,1596.7006,0.007111851,0.06131809
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.37758332,0.011388308,1596.7551,0.007111851,0.061349116
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3765139,0.011401995,1596.8097,0.007111851,0.061380185
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.37544444,0.01141569,1596.8643,0.007111851,0.06141129
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.374375,0.011429395,1596.9187,0.007111851,0.061442427
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.37330556,0.011443105,1596.973,0.007111851,0.061473608
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3722361,0.011456824,1597.0275,0.007111851,0.061504833
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.37116668,0.011470552,1597.0817,0.007111851,0.0615361
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.37009722,0.011484287,1597.136,0.007111851,0.06156738
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.36902776,0.01149803,1597.1902,0.007111851,0.061598726
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.36795834,0.011511781,1597.2443,0.007111851,0.06163008
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.36688888,0.01152554,1597.2985,0.007111851,0.061661493
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.36581945,0.011539307,1597.3525,0.007111851,0.061692923
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.36475,0.011553084,1597.4065,0.007111851,0.061724417
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.36368054,0.011566866,1597.4604,0.007111851,0.061755944
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.36261111,0.011580658,1597.5143,0.007111851,0.061787486
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.36154166,0.011594457,1597.5681,0.007111851,0.061819088
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.36047223,0.011608263,1597.6221,0.007111851,0.061850708
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.35940278,0.011622078,1597.6757,0.007111851,0.06188238
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.35833332,0.011635901,1597.7294,0.007111851,0.06191409
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3572639,0.011649732,1597.783,0.007111851,0.06194583
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.35619444,0.01166357,1597.8367,0.007111851,0.061977614
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.355125,0.011677416,1597.8901,0.007111851,0.062009435
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.35405555,0.011691269,1597.9436,0.007111851,0.062041283
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3529861,0.011705132,1597.9971,0.007111851,0.06207317
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.35191667,0.011719001,1598.0504,0.007111851,0.062105108
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3508472,0.011732877,1598.1038,0.007111851,0.06213707
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3497778,0.011746762,1598.1571,0.007111851,0.062169097
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.34870833,0.011760656,1598.2103,0.007111851,0.06220112
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.34763888,0.011774558,1598.2635,0.007111851,0.062233206
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.34656945,0.011788464,1598.3164,0.007111851,0.06226534
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3455,0.01180238,1598.3696,0.007111851,0.0622975
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.34443057,0.011816302,1598.4226,0.007111851,0.062329676
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3433611,0.011830233,1598.4756,0.007111851,0.06236191
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.34229165,0.011844172,1598.5286,0.007111851,0.062394198
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.34122223,0.01185812,1598.5814,0.007111851,0.062426493
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.34015277,0.011872075,1598.6343,0.007111851,0.062458854
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.33908334,0.011886035,1598.6869,0.007111851,0.062491238
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3380139,0.011900003,1598.7397,0.007111851,0.062523656
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.33694443,0.01191398,1598.7924,0.007111851,0.06255612
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.335875,0.011927964,1598.845,0.007111851,0.06258863
