(60, 969) 	 Volume-averaged velocity [m.s-1]
(60, 969) 	 Volume-averaged acceleration [m.s-1]
(969,) 	 X-averaged volume-averaged acceleration [m.s-1]
(60, 969) 	 Pressure [Pa]
(969,) 	 Negative electrode stoichiometry
(969,) 	 Negative electrode volume-averaged concentration
(969,) 	 Negative electrode volume-averaged concentration [mol.m-3]
(969,) 	 Total lithium in primary phase in negative electrode [mol]
(969,) 	 Positive electrode stoichiometry
(969,) 	 Positive electrode volume-averaged concentration
(969,) 	 Positive electrode volume-averaged concentration [mol.m-3]
(969,) 	 Total lithium in primary phase in positive electrode [mol]
(20, 969) 	 Negative electrode effective conductivity
(21, 969) 	 Negative electrode current density [A.m-2]
(20, 969) 	 Positive electrode effective conductivity
(21, 969) 	 Positive electrode current density [A.m-2]
(60, 969) 	 Electrode current density [A.m-2]
(969,) 	 Positive current collector potential [V]
(969,) 	 Local voltage [V]
(969,) 	 Voltage expression [V]
(969,) 	 Terminal voltage [V]
(969,) 	 Contact overpotential [V]
(969,) 	 Voltage [V]
(60, 969) 	 Electrolyte concentration concatenation [mol.m-3]
(20, 969) 	 Negative electrolyte concentration [mol.m-3]
(969,) 	 X-averaged negative electrolyte concentration [mol.m-3]
(20, 969) 	 Separator electrolyte concentration [mol.m-3]
(969,) 	 X-averaged separator electrolyte concentration [mol.m-3]
(20, 969) 	 Positive electrolyte concentration [mol.m-3]
(969,) 	 X-averaged positive electrolyte concentration [mol.m-3]
(20, 969) 	 Negative electrolyte concentration [Molar]
(969,) 	 X-averaged negative electrolyte concentration [Molar]
(20, 969) 	 Separator electrolyte concentration [Molar]
(969,) 	 X-averaged separator electrolyte concentration [Molar]
(20, 969) 	 Positive electrolyte concentration [Molar]
(969,) 	 X-averaged positive electrolyte concentration [Molar]
(60, 969) 	 Electrolyte concentration [mol.m-3]
(969,) 	 X-averaged electrolyte concentration [mol.m-3]
(60, 969) 	 Electrolyte concentration [Molar]
(969,) 	 X-averaged electrolyte concentration [Molar]
(61, 969) 	 Electrolyte current density [A.m-2]
(969,) 	 X-averaged concentration overpotential [V]
(969,) 	 X-averaged electrolyte ohmic losses [V]
(20, 969) 	 Negative electrode surface potential difference [V]
(969,) 	 Negative electrode surface potential difference at separator interface [V]
(969,) 	 X-averaged negative electrode surface potential difference [V]
(20, 969) 	 Positive electrode surface potential difference [V]
(969,) 	 Positive electrode surface potential difference at separator interface [V]
(969,) 	 X-averaged positive electrode surface potential difference [V]
(969,) 	 Ohmic heating [W.m-3]
(969,) 	 X-averaged Ohmic heating [W.m-3]
(969,) 	 Volume-averaged Ohmic heating [W.m-3]
(969,) 	 Ohmic heating per unit electrode-pair area [W.m-2]
(969,) 	 Ohmic heating [W]
(969,) 	 Irreversible electrochemical heating [W.m-3]
(969,) 	 X-averaged irreversible electrochemical heating [W.m-3]
(969,) 	 Volume-averaged irreversible electrochemical heating [W.m-3]
(969,) 	 Irreversible electrochemical heating per unit electrode-pair area [W.m-2]
(969,) 	 Irreversible electrochemical heating [W]
(969,) 	 Reversible heating [W.m-3]
(969,) 	 X-averaged reversible heating [W.m-3]
(969,) 	 Volume-averaged reversible heating [W.m-3]
(969,) 	 Reversible heating per unit electrode-pair area [W.m-2]
(969,) 	 Reversible heating [W]
(969,) 	 Total heating [W.m-3]
(969,) 	 X-averaged total heating [W.m-3]
(969,) 	 Volume-averaged total heating [W.m-3]
(969,) 	 Total heating per unit electrode-pair area [W.m-2]
(969,) 	 Total heating [W]
(969,) 	 Negative current collector Ohmic heating [W.m-3]
(969,) 	 Positive current collector Ohmic heating [W.m-3]
(969,) 	 Surface total cooling [W.m-3]
(969,) 	 Surface total cooling [W]
(969,) 	 Surface temperature [K]
(969,) 	 Volume-averaged surface temperature [K]
(969,) 	 Environment total cooling [W]
(969,) 	 Current collector current density [A.m-2]
(20, 969) 	 Negative electrode SEI volumetric interfacial current density [A.m-3]
(969,) 	 X-averaged negative electrode SEI volumetric interfacial current density [A.m-3]
(969,) 	 X-averaged negative electrode resistance [Ohm.m2]
(20, 969) 	 Negative SEI thickness [m]
(969,) 	 X-averaged negative SEI thickness [m]
(969,) 	 Volume-averaged negative SEI thickness [m]
(20, 969) 	 Positive electrode SEI volumetric interfacial current density [A.m-3]
(969,) 	 X-averaged positive electrode SEI volumetric interfacial current density [A.m-3]
(969,) 	 X-averaged positive electrode resistance [Ohm.m2]
(20, 969) 	 Positive SEI thickness [m]
(969,) 	 X-averaged positive SEI thickness [m]
(969,) 	 Volume-averaged positive SEI thickness [m]
(20, 969) 	 Negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
(969,) 	 X-averaged negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
(20, 969) 	 Negative SEI on cracks thickness [m]
(969,) 	 X-averaged negative SEI on cracks thickness [m]
(969,) 	 Volume-averaged negative SEI on cracks thickness [m]
(20, 969) 	 Positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
(969,) 	 X-averaged positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
(20, 969) 	 Positive SEI on cracks thickness [m]
(969,) 	 X-averaged positive SEI on cracks thickness [m]
(969,) 	 Volume-averaged positive SEI on cracks thickness [m]
(20, 969) 	 Negative electrode lithium plating volumetric interfacial current density [A.m-3]
(969,) 	 X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
(20, 969) 	 Positive electrode lithium plating volumetric interfacial current density [A.m-3]
(969,) 	 X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
(20, 969) 	 Negative electrode equilibrium open-circuit potential [V]
(969,) 	 X-averaged negative electrode equilibrium open-circuit potential [V]
(20, 969) 	 Negative electrode open-circuit potential [V]
(969,) 	 X-averaged negative electrode open-circuit potential [V]
(969,) 	 Negative electrode bulk open-circuit potential [V]
(969,) 	 Negative particle concentration overpotential [V]
(20, 969) 	 Negative electrode entropic change [V.K-1]
(969,) 	 X-averaged negative electrode entropic change [V.K-1]
(20, 969) 	 Positive electrode equilibrium open-circuit potential [V]
(969,) 	 X-averaged positive electrode equilibrium open-circuit potential [V]
(20, 969) 	 Positive electrode open-circuit potential [V]
(969,) 	 X-averaged positive electrode open-circuit potential [V]
(969,) 	 Positive electrode bulk open-circuit potential [V]
(969,) 	 Positive particle concentration overpotential [V]
(20, 969) 	 Positive electrode entropic change [V.K-1]
(969,) 	 X-averaged positive electrode entropic change [V.K-1]
(20, 969) 	 Negative electrode interfacial current density [A.m-2]
(969,) 	 X-averaged negative electrode interfacial current density [A.m-2]
(969,) 	 X-averaged negative electrode total interfacial current density [A.m-2]
(969,) 	 X-averaged negative electrode total volumetric interfacial current density [A.m-3]
(20, 969) 	 Negative electrode exchange current density [A.m-2]
(969,) 	 X-averaged negative electrode exchange current density [A.m-2]
(20, 969) 	 Negative electrode reaction overpotential [V]
(969,) 	 X-averaged negative electrode reaction overpotential [V]
(20, 969) 	 Negative electrode volumetric interfacial current density [A.m-3]
(969,) 	 X-averaged negative electrode volumetric interfacial current density [A.m-3]
(20, 969) 	 Negative electrode SEI film overpotential [V]
(969,) 	 X-averaged negative electrode SEI film overpotential [V]
(20, 969) 	 Positive electrode interfacial current density [A.m-2]
(969,) 	 X-averaged positive electrode interfacial current density [A.m-2]
(969,) 	 X-averaged positive electrode total interfacial current density [A.m-2]
(969,) 	 X-averaged positive electrode total volumetric interfacial current density [A.m-3]
(20, 969) 	 Positive electrode exchange current density [A.m-2]
(969,) 	 X-averaged positive electrode exchange current density [A.m-2]
(20, 969) 	 Positive electrode reaction overpotential [V]
(969,) 	 X-averaged positive electrode reaction overpotential [V]
(20, 969) 	 Positive electrode volumetric interfacial current density [A.m-3]
(969,) 	 X-averaged positive electrode volumetric interfacial current density [A.m-3]
(20, 969) 	 Positive electrode SEI film overpotential [V]
(969,) 	 X-averaged positive electrode SEI film overpotential [V]
(20, 20, 969) 	 Negative particle rhs [mol.m-3.s-1]
(20, 969) 	 Negative particle bc [mol.m-4]
(20, 20, 969) 	 Negative particle effective diffusivity [m2.s-1]
(20, 969) 	 X-averaged negative particle effective diffusivity [m2.s-1]
(969,) 	 Volume-averaged negative particle effective diffusivity [m2.s-1]
(21, 20, 969) 	 Negative particle flux [mol.m-2.s-1]
(20, 20, 969) 	 Positive particle rhs [mol.m-3.s-1]
(20, 969) 	 Positive particle bc [mol.m-4]
(20, 20, 969) 	 Positive particle effective diffusivity [m2.s-1]
(20, 969) 	 X-averaged positive particle effective diffusivity [m2.s-1]
(969,) 	 Volume-averaged positive particle effective diffusivity [m2.s-1]
(21, 20, 969) 	 Positive particle flux [mol.m-2.s-1]
(61, 969) 	 Electrolyte flux [mol.m-2.s-1]
(61, 969) 	 Electrolyte diffusion flux [mol.m-2.s-1]
(61, 969) 	 Electrolyte migration flux [mol.m-2.s-1]
(60, 969) 	 Electrolyte convection flux [mol.m-2.s-1]
(20, 969) 	 Sum of negative electrode electrolyte reaction source terms [A.m-3]
(969,) 	 Sum of x-averaged negative electrode electrolyte reaction source terms [A.m-3]
(20, 969) 	 Sum of negative electrode volumetric interfacial current densities [A.m-3]
(969,) 	 Sum of x-averaged negative electrode volumetric interfacial current densities [A.m-3]
(20, 969) 	 Sum of positive electrode electrolyte reaction source terms [A.m-3]
(969,) 	 Sum of x-averaged positive electrode electrolyte reaction source terms [A.m-3]
(20, 969) 	 Sum of positive electrode volumetric interfacial current densities [A.m-3]
(969,) 	 Sum of x-averaged positive electrode volumetric interfacial current densities [A.m-3]
(60, 969) 	 Interfacial current density [A.m-2]
(60, 969) 	 Exchange current density [A.m-2]
(60, 969) 	 Sum of volumetric interfacial current densities [A.m-3]
(60, 969) 	 Sum of electrolyte reaction source terms [A.m-3]
(969,) 	 Surface open-circuit voltage [V]
(969,) 	 Bulk open-circuit voltage [V]
(969,) 	 Particle concentration overpotential [V]
(969,) 	 X-averaged reaction overpotential [V]
(969,) 	 X-averaged SEI film overpotential [V]
(969,) 	 X-averaged solid phase ohmic losses [V]
(969,) 	 Battery open-circuit voltage [V]
(969,) 	 Battery negative electrode bulk open-circuit potential [V]
(969,) 	 Battery positive electrode bulk open-circuit potential [V]
(969,) 	 Battery particle concentration overpotential [V]
(969,) 	 Battery negative particle concentration overpotential [V]
(969,) 	 Battery positive particle concentration overpotential [V]
(969,) 	 X-averaged battery reaction overpotential [V]
(969,) 	 X-averaged battery negative reaction overpotential [V]
(969,) 	 X-averaged battery positive reaction overpotential [V]
(969,) 	 X-averaged battery solid phase ohmic losses [V]
(969,) 	 X-averaged battery negative solid phase ohmic losses [V]
(969,) 	 X-averaged battery positive solid phase ohmic losses [V]
(969,) 	 X-averaged battery electrolyte ohmic losses [V]
(969,) 	 X-averaged battery concentration overpotential [V]
(969,) 	 Battery voltage [V]
(969,) 	 Local ECM resistance [Ohm]
(969,) 	 Terminal power [W]
(969,) 	 Power [W]
(969,) 	 Resistance [Ohm]
(969,) 	 Total lithium in negative electrode [mol]
(969,) 	 LAM_ne [%]
(969,) 	 Loss of active material in negative electrode [%]
(969,) 	 Total lithium in positive electrode [mol]
(969,) 	 LAM_pe [%]
(969,) 	 Loss of active material in positive electrode [%]
(969,) 	 LLI [%]
(969,) 	 Loss of lithium inventory [%]
(969,) 	 Loss of lithium inventory, including electrolyte [%]
(969,) 	 Total lithium [mol]
(969,) 	 Total lithium in particles [mol]
(969,) 	 Total lithium capacity [A.h]
(969,) 	 Total lithium capacity in particles [A.h]
(969,) 	 Total lithium lost [mol]
(969,) 	 Total lithium lost from particles [mol]
(969,) 	 Total lithium lost from electrolyte [mol]
(969,) 	 Total lithium lost to side reactions [mol]
(969,) 	 Total capacity lost to side reactions [A.h]
